name,elected,party,constituency,votes,history,club,dob,education,expired,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate,party_name,party_acronym
Arkady Fiedler,09-10-2011,Platforma Obywatelska,39 Poznań,17467,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"23-03-1945, Londyn",średnie policealne/pomaturalne,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Anna Fotyga,09-10-2011,Prawo i Sprawiedliwość,25 Gdańsk,24662,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"12-01-1957, Lębork",wyższe,2014-05-27,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Krzysztof Gadowski,09-10-2011,Platforma Obywatelska,30 Rybnik,15326,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"14-08-1962, Bochnia",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Ryszard Galla,09-10-2011,Mniejszość Niemiecka,21 Opole,11794,"poseł V kadencji, poseł VI kadencji",Poseł niezrzeszony,"22-07-1956, Wrocław",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Niezrzeszony,nz.
Andrzej Gałażewski,09-10-2011,Platforma Obywatelska,29 Gliwice,11746,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"20-04-1944, Kraków",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Elżbieta Gapińska,09-10-2011,Platforma Obywatelska,16 Płock,10794,brak,Klub Parlamentarny Platforma Obywatelska,"03-10-1960, Płock",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Tomasz Garbowski,09-10-2011,Sojusz Lewicy Demokratycznej,21 Opole,6828,"poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"07-01-1979, Kluczbork",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Sojusz Lewicy Demokratycznej,SLD
Stanisław Gawłowski,09-10-2011,Platforma Obywatelska,40 Koszalin,27047,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"27-11-1968, Brzeg",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Lidia Gądek,09-10-2011,Platforma Obywatelska,13 Kraków,7191,brak,Klub Parlamentarny Platforma Obywatelska,"11-01-1967, Wolbrom",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Magdalena Gąsior-Marek,09-10-2011,Platforma Obywatelska,6 Lublin,14676,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"17-12-1983, Lublin",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Elżbieta Gelert,09-10-2011,Platforma Obywatelska,34 Elbląg,15901,senator VI kadencji,Klub Parlamentarny Platforma Obywatelska,"22-04-1955, Gdańsk",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:1:0:1,2,1,2,2,Platforma Obywatelska,PO
Łukasz Gibała,09-10-2011,Platforma Obywatelska,13 Kraków,18583,poseł VI kadencji,Poseł niezrzeszony,"10-09-1977, Kraków",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Niezrzeszony,nz.
Artur Gierada,09-10-2011,Platforma Obywatelska,33 Kielce,11679,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"21-04-1979, Kielce",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Zbigniew Girzyński,09-10-2011,Prawo i Sprawiedliwość,5 Toruń,24907,"poseł V kadencji, poseł VI kadencji",Poseł niezrzeszony,"17-03-1973, Sierpc",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Niezrzeszony,nz.
Szymon Giżyński,09-10-2011,Prawo i Sprawiedliwość,28 Częstochowa,9146,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"08-03-1956, Częstochowa",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Czesław Gluza,09-10-2011,Platforma Obywatelska,27 Bielsko-Biała,13334,brak,Klub Parlamentarny Platforma Obywatelska,"11-06-1956, Wisła",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Tomasz Głogowski,09-10-2011,Platforma Obywatelska,29 Gliwice,15649,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"30-12-1974, Tarnowskie Góry",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
John Abraham Godson,09-10-2011,Platforma Obywatelska,9 Łódź,29832,poseł VI kadencji,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"25-11-1970, Umuahia",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Polskie Stronnictwo Ludowe,PSL
Mieczysław Golba,09-10-2011,Prawo i Sprawiedliwość,22 Krosno,12332,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Zjednoczona Prawica,"24-04-1966, Jarosław",średnie ogólne,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Zjednoczona Prawica,ZP
Kazimierz Gołojuch,09-10-2011,Prawo i Sprawiedliwość,23 Rzeszów,12311,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"05-02-1964, Łańcut",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Małgorzata Gosiewska,09-10-2011,Prawo i Sprawiedliwość,19 Warszawa,8129,poseł V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"22-07-1966, Gdańsk",średnie ogólne,None,0:0:0:0:1:0:1,0:0:0:0:0:0:0:1,2,1,3,1,Prawo i Sprawiedliwość,PiS
Jarosław Gowin,09-10-2011,Platforma Obywatelska,13 Kraków,62570,"senator VI kadencji, poseł VI kadencji",Klub Parlamentarny Zjednoczona Prawica,"04-12-1961, Kraków",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:1:0:1,3,1,3,2,Zjednoczona Prawica,ZP
Artur Górczyński,09-10-2011,Ruch Palikota,27 Bielsko-Biała,9980,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"23-12-1972, Pińczów",średnie policealne/pomaturalne,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Jarosław Górczyński,09-10-2011,Polskie Stronnictwo Ludowe,33 Kielce,4814,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"09-02-1971, Ostrowiec Świetokrzyski",wyższe,2014-12-10,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Artur Górski,09-10-2011,Prawo i Sprawiedliwość,19 Warszawa,4762,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"30-01-1970, Warszawa",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Tomasz Górski,09-10-2011,Prawo i Sprawiedliwość,39 Poznań,9197,"poseł V kadencji, poseł VI kadencji",Poseł niezrzeszony,"15-08-1973, Poznań",średnie ogólne,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Niezrzeszony,nz.
Cezary Grabarczyk,09-10-2011,Platforma Obywatelska,9 Łódź,24582,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"26-04-1960, Łódź",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Aleksander Grad,09-10-2011,Platforma Obywatelska,15 Tarnów,23671,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"01-05-1962, Łosiniec",wyższe,2012-06-30,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Platforma Obywatelska,PO
Mariusz Grad,09-10-2011,Platforma Obywatelska,7 Chełm,9962,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"18-05-1973, Tomaszów Lubelski",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Paweł Graś,09-10-2011,Platforma Obywatelska,12 Kraków,36992,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"23-02-1964, Kęty",wyższe,2014-11-14,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1,Platforma Obywatelska,PO
Anna Grodzka,09-10-2011,Ruch Palikota,13 Kraków,19451,brak,Posłanka niezrzeszona,"16-03-1954, Otwock",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Rafał Grupiński,09-10-2011,Platforma Obywatelska,39 Poznań,40510,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"26-09-1952, Wronki",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Eugeniusz Tomasz Grzeszczak,09-10-2011,Polskie Stronnictwo Ludowe,37 Konin,9648,"senator II kadencji, senator III kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"29-12-1954, Kowalewo Opactwo",wyższe,None,0:0:0:0:1:1:1,0:1:1:0:0:0:0:1,4,1,4,3,Polskie Stronnictwo Ludowe,PSL
Andrzej Gut-Mostowy,09-10-2011,Platforma Obywatelska,14 Nowy Sącz,15345,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"30-10-1960, Zakopane",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Iwona Guzowska,09-10-2011,Platforma Obywatelska,25 Gdańsk,22616,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"07-02-1974, Gdańsk",średnie ogólne,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Andrzej Halicki,09-10-2011,Platforma Obywatelska,20 Warszawa,40002,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"26-11-1961, Warszawa",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Katarzyna Hall,09-10-2011,Platforma Obywatelska,25 Gdańsk,9898,brak,Klub Parlamentarny Platforma Obywatelska,"15-03-1957, Gdańsk",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Agnieszka Hanajczyk,09-10-2011,Platforma Obywatelska,11 Sieradz,16484,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"12-01-1963, Zgierz",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Krzysztof Hetman,09-10-2011,Polskie Stronnictwo Ludowe,6 Lublin,10804,brak,,"27-06-1974,",,2011-10-25,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,,
Czesław Hoc,09-10-2011,Prawo i Sprawiedliwość,40 Koszalin,19942,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"22-02-1954, Jelenin",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Adam Hofman,09-10-2011,Prawo i Sprawiedliwość,37 Konin,24047,"poseł V kadencji, poseł VI kadencji",Poseł niezrzeszony,"23-05-1980, Kalisz",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Niezrzeszony,nz.
Marek Hok,09-10-2011,Platforma Obywatelska,40 Koszalin,16364,brak,Klub Parlamentarny Platforma Obywatelska,"15-06-1953, Koszalin",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Teresa Hoppe,09-10-2011,Platforma Obywatelska,26 Gdynia,7552,brak,Klub Parlamentarny Platforma Obywatelska,"13-09-1947, Kowalewo",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Józefa Hrynkiewicz,09-10-2011,Prawo i Sprawiedliwość,23 Rzeszów,17039,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"07-10-1945, Daniuszewo",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Stanisław Huskowski,09-10-2011,Platforma Obywatelska,3 Wrocław,7164,"senator V kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"24-04-1953, Wrocław",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:1:0:0:1,4,1,4,2,Platforma Obywatelska,PO
Tadeusz Iwiński,09-10-2011,Sojusz Lewicy Demokratycznej,35 Olsztyn,11025,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"28-10-1944, Piastów",wyższe,None,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1,Sojusz Lewicy Demokratycznej,SLD
Michał Jach,09-10-2011,Prawo i Sprawiedliwość,41 Szczecin,4383,poseł V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"23-09-1951, Łomża",wyższe,None,0:0:0:0:1:0:1,0:0:0:0:0:0:0:1,2,1,3,1,Prawo i Sprawiedliwość,PiS
Dawid Jackiewicz,09-10-2011,Prawo i Sprawiedliwość,3 Wrocław,26648,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"18-03-1973, Wrocław",wyższe,2014-05-27,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Patryk Jaki,09-10-2011,Prawo i Sprawiedliwość,21 Opole,8911,brak,Klub Parlamentarny Zjednoczona Prawica,"11-05-1985, Opole",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Zjednoczona Prawica,ZP
Wiesław Janczyk,09-10-2011,Prawo i Sprawiedliwość,14 Nowy Sącz,13993,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"07-04-1964, Chomranice",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Maria Małgorzata Janyska,09-10-2011,Platforma Obywatelska,38 Piła,12132,brak,Klub Parlamentarny Platforma Obywatelska,"16-01-1962, Wyrzysk",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Tadeusz Jarmuziewicz,09-10-2011,Platforma Obywatelska,21 Opole,14022,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"21-09-1957, Piława Górna",wyższe,None,0:0:1:1:1:1:1,0:0:0:0:0:0:0:1,6,1,6,1,Platforma Obywatelska,PO
Michał Jaros,09-10-2011,Platforma Obywatelska,3 Wrocław,9635,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"26-01-1981, Aleksandrów Kujawski",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Adam Jarubas,09-10-2011,Polskie Stronnictwo Ludowe,33 Kielce,28750,brak,,"17-12-1974,",,2011-10-25,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,,
Wojciech Jasiński,09-10-2011,Prawo i Sprawiedliwość,16 Płock,26125,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"01-04-1948, Gostynin",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Prawo i Sprawiedliwość,PiS
Leszek Jastrzębski,09-10-2011,Platforma Obywatelska,19 Warszawa,3075,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"20-08-1976, Warszawa",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Andrzej Jaworski,09-10-2011,Prawo i Sprawiedliwość,25 Gdańsk,22770,poseł VI kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,"16-12-1970, Włocławek",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Prawo i Sprawiedliwość,PiS
Mariusz Orion Jędrysek,09-10-2011,Prawo i Sprawiedliwość,3 Wrocław,22381,brak,Klub Parlamentarny Prawo i Sprawiedliwość,"28-04-1962, Głubczyce",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Prawo i Sprawiedliwość,PiS
Dariusz Joński,09-10-2011,Sojusz Lewicy Demokratycznej,9 Łódź,15164,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"12-01-1979, Łódź",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Krzysztof Jurgiel,09-10-2011,Prawo i Sprawiedliwość,24 Białystok,35763,"poseł III kadencji, poseł IV kadencji, senator V kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"18-11-1953, Ogrodniki",wyższe,None,0:0:1:1:1:1:1,0:0:0:0:1:0:0:1,6,1,6,2,Prawo i Sprawiedliwość,PiS
Michał Kabaciński,09-10-2011,Ruch Palikota,6 Lublin,6984,brak,Koło Poselskie Ruch Palikota,"05-04-1988, Lublin",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Ruch Palikota,RP
Tomasz Kaczmarek,09-10-2011,Prawo i Sprawiedliwość,33 Kielce,4332,brak,Poseł niezrzeszony,"15-08-1976, Wrocław",wyższe,2015-03-06,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Niezrzeszony,nz.
Roman Kaczor,09-10-2011,Platforma Obywatelska,3 Wrocław,5302,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"03-09-1956, Oława",średnie ogólne,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jarosław Kaczyński,09-10-2011,Prawo i Sprawiedliwość,19 Warszawa,202297,"senator I kadencji, poseł I kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"18-06-1949, Warszawa",wyższe,None,1:0:1:1:1:1:1,1:0:0:0:0:0:0:1,6,1,7,2,Prawo i Sprawiedliwość,PiS
Stanisław Kalemba,09-10-2011,Polskie Stronnictwo Ludowe,38 Piła,10597,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"25-10-1947, Piekary",wyższe,None,1:1:1:1:1:1:1,0:0:0:0:0:0:0:1,8,1,8,1,Polskie Stronnictwo Ludowe,PSL
Ryszard Kalisz,09-10-2011,Sojusz Lewicy Demokratycznej,19 Warszawa,53451,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Poseł niezrzeszony,"26-02-1957, Warszawa",wyższe,None,0:0:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,5,1,Niezrzeszony,nz.
Bożena Kamińska,09-10-2011,Platforma Obywatelska,24 Białystok,10019,brak,Klub Parlamentarny Platforma Obywatelska,"27-08-1965, Gołdap",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Mariusz Kamiński,09-10-2011,Prawo i Sprawiedliwość,19 Warszawa,17535,"poseł III kadencji, poseł IV kadencji, poseł V kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"25-09-1965, Sochaczew",wyższe,None,0:0:1:1:1:0:1,0:0:0:0:0:0:0:1,2,1,5,1,Prawo i Sprawiedliwość,PiS
Mariusz Antoni Kamiński,09-10-2011,Prawo i Sprawiedliwość,24 Białystok,22675,poseł VI kadencji,Poseł niezrzeszony,"30-03-1978, Łapy",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Niezrzeszony,nz.
Tomasz Kamiński,09-10-2011,Sojusz Lewicy Demokratycznej,23 Rzeszów,8410,poseł VI kadencji,Klub Poselski Sojusz Lewicy Demokratycznej,"27-10-1979, Rzeszów",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Sojusz Lewicy Demokratycznej,SLD
Andrzej Kania,09-10-2011,Platforma Obywatelska,18 Siedlce,5212,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"04-05-1963, Przasnysz",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Włodzimierz Karpiński,09-10-2011,Platforma Obywatelska,6 Lublin,16498,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"16-11-1961, Puławy",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Mieczysław Kasprzak,09-10-2011,Polskie Stronnictwo Ludowe,22 Krosno,6854,"poseł II kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"30-03-1953, Jarosław",wyższe,None,0:1:0:1:1:1:1,0:0:0:0:0:0:0:1,5,1,6,1,Polskie Stronnictwo Ludowe,PSL
Jarosław Katulski,09-10-2011,Platforma Obywatelska,4 Bydgoszcz,5872,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"16-10-1961, Koronowo",wyższe,2014-12-05,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Jan Kaźmierczak,09-10-2011,Platforma Obywatelska,29 Gliwice,8155,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"04-04-1950, Katowice",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Beata Kempa,09-10-2011,Prawo i Sprawiedliwość,33 Kielce,70127,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Zjednoczona Prawica,"11-02-1966, Syców",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Zjednoczona Prawica,ZP
Adam Kępiński,09-10-2011,Ruch Palikota,21 Opole,11175,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"05-12-1975, Ozimek",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Małgorzata Kidawa-Błońska,09-10-2011,Platforma Obywatelska,19 Warszawa,45027,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"05-05-1957, Warszawa",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Marcin Kierwiński,09-10-2011,Platforma Obywatelska,19 Warszawa,3580,brak,Klub Parlamentarny Platforma Obywatelska,"22-08-1976, Warszawa",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
Witold Klepacz,09-10-2011,Sojusz Lewicy Demokratycznej,32 Sosnowiec,6817,"poseł V kadencji, poseł VI kadencji",Klub Poselski Sojusz Lewicy Demokratycznej,"07-07-1953, Kłobuck",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Sojusz Lewicy Demokratycznej,SLD
Izabela Kloc,09-10-2011,Prawo i Sprawiedliwość,30 Rybnik,12833,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"08-05-1963, Mikołów",wyższe,2014-09-10,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Joanna Kluzik-Rostkowska,09-10-2011,Platforma Obywatelska,30 Rybnik,22418,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"14-12-1963, Katowice",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Eugeniusz Kłopotek,09-10-2011,Polskie Stronnictwo Ludowe,4 Bydgoszcz,13287,"poseł III kadencji, poseł IV kadencji, poseł VI kadencji",Klub Parlamentarny Polskiego Stronnictwa Ludowego,"15-11-1953, Chojnice",wyższe,None,0:0:1:1:0:1:1,0:0:0:0:0:0:0:1,3,1,5,1,Polskie Stronnictwo Ludowe,PSL
Krystyna Kłosin,09-10-2011,Platforma Obywatelska,26 Gdynia,16187,poseł VI kadencji,Klub Parlamentarny Platforma Obywatelska,"14-07-1954, Minkowice",wyższe,None,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1,Platforma Obywatelska,PO
Krzysztof Kłosowski,09-10-2011,Ruch Palikota,36 Kalisz,13080,brak,Klub Poselski Sojusz Lewicy Demokratycznej,"14-12-1975, Mogilno",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Sojusz Lewicy Demokratycznej,SLD
Sławomir Kłosowski,09-10-2011,Prawo i Sprawiedliwość,21 Opole,14165,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,"21-02-1964, Wambierzyce",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Prawo i Sprawiedliwość,PiS
Henryk Kmiecik,09-10-2011,Ruch Palikota,1 Legnica,13015,brak,Klub Parlamentarny Polskiego Stronnictwa Ludowego,"01-12-1953, Lubawka",średnie zawodowe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Polskie Stronnictwo Ludowe,PSL
Magdalena Kochan,09-10-2011,Platforma Obywatelska,41 Szczecin,14198,"poseł V kadencji, poseł VI kadencji",Klub Parlamentarny Platforma Obywatelska,"28-01-1950, Szczecin",wyższe,None,0:0:0:0:1:1:1,0:0:0:0:0:0:0:1,4,1,4,1,Platforma Obywatelska,PO
Brygida Kolenda-Łabuś,09-10-2011,Platforma Obywatelska,21 Opole,10411,brak,Klub Parlamentarny Platforma Obywatelska,"12-05-1950, Polanica Zdrój",wyższe,None,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1,Platforma Obywatelska,PO
